FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,Diálogo e a interação no contexto das ouvidorias virtuais: algumas aproximações,(Des) Caminhos na Comunicação Organizacional: ensaios e pesquisas do Grupo de Estudo em Comunicação Organizacional,2019,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade', 'FALAVIGNA, F.']"
LATTES,CAP.LIVRO,4838297393852726,Cleusa Maria Andrade Scroferneker,De qual comunicação (interna) não estamos falando?,De qual comunicação estamos falando?,2015,Português,EDIPUCRS,"['SCROFERNEKER, Cleusa Maria Andrade', 'WELS, A. C.']"
LATTES,CAP.LIVRO,5075736089100544,Cássio Vinicius Serafim Prazeres,Web Semântica: Teoria e Prática,Tópicos em Sistemas Interativos e Colaborativos,2006,Português,SBC,"['Bulcão Neto, R.F.', 'PRAZERES, C. V. S.;PRAZERES, CASSIO V.S.;PRAZERES, CÁSSIO V.S.;PRAZERES, CASSIO VINICIUS SERAFIM;Prazeres, Cassio V. S.;PRAZERES, CASSIO;Prazeres, Cássio', 'PIMENTEL, M. G. C.']"
LATTES,CAP.LIVRO,5075736089100544,Cássio Vinicius Serafim Prazeres,Do Device à cloud com a Plataforma SOFT-IoT: sua infraestrutura IoT em poucas horas,Minicursos WebMedia 2018,2018,Português,,"['ANDRADE, L. J. S.', 'SANTANA, C. J. L.', 'MELLO, B.', 'ANDRADE, A. S. V.', 'COUTINHO, A. A. T. R.', 'GREVE, F. G. P.', 'PRAZERES, C. V. S.']"
LATTES,CAP.LIVRO,5075736089100544,Cássio Vinicius Serafim Prazeres,Fog of Things: Fog Computing in Internet of Things Environments,"Special Topics in Multimedia, IoT and Web Technologies",2020,Português,Springer International Publishing,"['ANDRADE, LEANDRO', 'Lira, Cleber', 'de Mello, Brenno', 'ANDRADE, ANDRESSA', 'COUTINHO, ANTONIO', 'Prazeres, Cássio']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Testagem dos substratos utilizados no horto florestal da Universidade de Caxias do Sul com as espécies aroeira-piriquita, cedro e uva-do-japão",Tratamento de Resíduos Sólidos - Compêndio de Publicações,1991,Português,Gráfica da Universidade de Caxias do Sul,"['CARMINATTI, A. F.', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'RUFFATTO, R.', 'GEMIN, S. A.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Biologia,Biologia,1990,Português,Sociedade Caxiense de Cultura,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'VELHO, S.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Biologia,Cursão - Testes 2,1990,Português,Sociedade Caxiense de Cultura,"['VELHO, S.', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,"Testagem do composto orgânico de lixo utilizando-se as espécies cereja-do-mato, conamomo-gigante variedade semprevirens e uva-do-japão",Tratamento de Resíduos Sólidos - Compêndio de Publicações,1991,Português,Gráfica da Universidade de Caxias do Sul,"['CARMINATTI, A. F.', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'RUFFATTO, R.', 'GEMIN, S. A.']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Diagnóstico da geração de resíduos e dos sistemas de gestão ambiental das empresas do Pólo Moveleiro da Serra Gaúcha,Pólo Moveleiro da Serra Gaúcha - Geração de resíduos e perspectivas para sistemas de gerenciamento ambiental,2004,Português,EDUCS,"['HILLIG, Éverton', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'PAVONI, Elóide Teresa']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Gerenciamento ambiental: uma necessidade para a competitividade empresarial,Pólo Moveleiro da Serra Gaúcha - Geração de resíduos e perspectivas para sistemas de gerenciamento ambiental,2004,Português,EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Conceito de produção mais limpa na minimização e no aproveitamento de resíduos sólidos: uma proposta para o gerenciamento na indústria moveleira,Pólo Moveleiro da Serra Gaúcha - Geração de resíduos e perspectivas para sistemas de gerenciamento ambiental,2004,Português,EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'PAVONI, Elóide Teresa', 'PANAROTTO, Cláudia Teixeira']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Gerenciamento ambiental na indústria moveleira: estratégias de avaliação e implementação,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider', 'NEHME, Marcelo Carlotto', 'QUISSINI, Carina Soldera', 'GOMES, Fábio Mateus']"
LATTES,CAP.LIVRO,9940289333509769,Vania Elisabete Schneider,Resíduos sólidos: problemática e definição,Pólo Moveleiro da Serra Gaúcha - Sistemas de Gerenciamento Ambiental na Indústria Moveleira,2006,Português,Editora da Universidade de Caxias do Sul - EDUCS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider']"
