175	\N	\N	\N	\N	\N	\N	23º Congresso Brasileiro de Engenharia Sanitária e Ambiental - CD-Rom	2	2005
176	\N	\N	\N	\N	\N	\N	23rd IEEE International Symposium on Industrial Electronics	2	2014
177	\N	\N	\N	\N	\N	\N	24th ISIE	2	2015
178	\N	\N	\N	\N	\N	\N	24th ISIE	2	2015
179	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
180	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
181	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
182	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
183	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
184	\N	\N	\N	\N	\N	\N	25 Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2009
185	\N	\N	\N	\N	\N	\N	25ª Jornada Acadêmica Integrada	2	2010
186	\N	\N	\N	\N	\N	\N	26ª JAI	2	2011
187	\N	\N	\N	\N	\N	\N	26ª JAI	2	2011
188	\N	\N	\N	\N	\N	\N	26ª JAI	2	2011
189	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
190	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
191	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
192	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
193	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
194	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
195	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
196	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
197	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
198	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
199	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
200	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
201	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
202	\N	\N	\N	\N	\N	\N	26º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2	2011
203	\N	\N	\N	\N	\N	\N	26th International Conference on Database and EXpert Systems Applications (DEXA) 2015, Valencia, Spain, September 1-4, 2015	2	2015
204	\N	\N	\N	\N	\N	\N	27° SIC UDESC	2	2017
205	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
206	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
207	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
208	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
209	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
210	\N	\N	\N	\N	\N	\N	27ª JAI	2	2012
211	\N	\N	\N	\N	\N	\N	27th International Joint Conference on Artificial Intelligence and the 23rd European Conference on Artificial Intelligence	2	2018
212	\N	\N	\N	\N	\N	\N	28° SIC UDESC	2	2018
213	\N	\N	\N	\N	\N	\N	28ª JAI	2	2013
214	\N	\N	\N	\N	\N	\N	28ª JAI	2	2013
215	\N	\N	\N	\N	\N	\N	28º JAI	2	2013
216	\N	\N	\N	\N	\N	\N	28th Annual Conference of IEEE Industrial Electronics Society	2	2002
217	\N	\N	\N	\N	\N	\N	28th Annual Conference of IEEE Industrial Electronics Society	2	2002
218	\N	\N	\N	\N	\N	\N	28th Brazilian Symposium on Databases - Short Papers Proceedings	2	2013
219	\N	\N	\N	\N	\N	\N	28th Brazilian Symposium on Databases - Thesis and Dissertation Workshop (WTDBD) Proceedings	2	2013
220	\N	\N	\N	\N	\N	\N	28th IEEE International Symposium on Computer-Based Medical Systems	2	2015
221	\N	\N	\N	\N	\N	\N	29° SIC UDESC	2	2019
222	\N	\N	\N	\N	\N	\N	29ª JAI	2	2014
223	\N	\N	\N	\N	\N	\N	29ª JAI	2	2014
224	\N	\N	\N	\N	\N	\N	29ª JAI	2	2014
225	\N	\N	\N	\N	\N	\N	29ª JAI	2	2014
226	\N	\N	\N	\N	\N	\N	29ª JAI	2	2014
227	\N	\N	\N	\N	\N	\N	29º Seminário de Extensão Universitária da Região Sul	2	2011
228	\N	\N	\N	\N	\N	\N	2ª SEAC - Vencendo a crise com o conhecimento	2	2016
229	\N	\N	\N	\N	\N	\N	2nd International Conference on Data Management in Grid and P2P Systems	2	2009
230	\N	\N	\N	\N	\N	\N	2nd International Syposium on Residue Management in Universities - Book of Abstracts	2	2004
231	\N	\N	\N	\N	\N	\N	2nd workshop on Human Language Technologies for Iberian languages (IberEval2017)	2	2017
232	\N	\N	\N	\N	\N	\N	2nd Workshop on Many-Task Computing on Grids and Supercomputers	2	2009
233	\N	\N	\N	\N	\N	\N	2º CONEPRO-SUL	2	2012
234	\N	\N	\N	\N	\N	\N	2º CONEPRO-SUL	2	2012
235	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
236	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
237	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
238	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
239	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
240	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
241	\N	\N	\N	\N	\N	\N	2º Congresso Internacional de Tecnologias para o Meio Ambiente	2	2010
242	\N	\N	\N	\N	\N	\N	2º Fórum Extensão Conta	2	2009
243	\N	\N	\N	\N	\N	\N	2º Simpósio Brasileiro de Engenharia Ambiental - Livro de Resumos	2	2003
244	\N	\N	\N	\N	\N	\N	2o Simpósio Brasileiro de Engenharia Ambiental - Livro de Resumos	2	2003
245	\N	\N	\N	\N	\N	\N	30ª JAI	2	2015
246	\N	\N	\N	\N	\N	\N	30ª JAI	2	2015
247	\N	\N	\N	\N	\N	\N	30th IEEE International Symposium on Computer-Based Medical Systems	2	2017
248	\N	\N	\N	\N	\N	\N	32º Congresso Nacional de Matemática Aplicada e Computacional	2	2009
249	\N	\N	\N	\N	\N	\N	33ª JAI	2	2018
250	\N	\N	\N	\N	\N	\N	33ª JAI	2	2018
251	\N	\N	\N	\N	\N	\N	33ª JAI	2	2018
252	\N	\N	\N	\N	\N	\N	33ª JAI	2	2018
253	\N	\N	\N	\N	\N	\N	33rd Annual Brazilian Symposium on Databases, SBBD 2018, Rio de Janeiro, RJ, Brazil, August 25-26, 2018	2	2018
254	\N	\N	\N	\N	\N	\N	33rd Annual Brazilian Symposium on Databases, SBBD 2018, Rio de Janeiro, RJ, Brazil, August 25-26, 2018	2	2018
255	\N	\N	\N	\N	\N	\N	33rd Annual Brazilian Symposium on Databases: Proceeedings Companion	2	2018
256	\N	\N	\N	\N	\N	\N	33rd Annual IEEE Power Electronics Specialists Conference (PESC 02),	2	2002
257	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
258	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
259	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
260	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
261	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
262	\N	\N	\N	\N	\N	\N	34ª JAI	2	2019
263	\N	\N	\N	\N	\N	\N	34th ACM Symposium on Applied Computing	2	2019
264	\N	\N	\N	\N	\N	\N	35ème Conférence sur la Gestion de Données ? Principes, Technologies et Applications	2	2019
265	\N	\N	\N	\N	\N	\N	35th IECON	2	2009
266	\N	\N	\N	\N	\N	\N	35th International Conference of the Chilean Computer Science Society	2	2016
267	\N	\N	\N	\N	\N	\N	35th International Conference of the Chilean Computer Science Society	2	2016
268	\N	\N	\N	\N	\N	\N	37 thPower Electronics Specialist Conference	2	2006
