id,titulo,tipo_id,edicao_id,fonte
1618,UM MODELO DE BUSINESS INTELLIGENCE PARA AUXÍLIO NO PLANEJAMENTO DA COLETA DE RESÍDUOS SÓLIDOS,,1915,LATTES
1610,"Gestão de resíduos na Universidade de Caxias do Sul: um processo de construção das atividades de ensino, pesquisa e de extensão com responsabilidade socioambiental",,1916,LATTES
811,Gestão operacional da coleta seletiva de resíduos sólidos urbanos - abordagem utilizando um sistema de apoio à decisão,,1917,LATTES
3642,Fortalecimiento Institucional,,1918,LATTES
706,Sagreh: um sistema de apoio à gestão de recursos hídricos com suporte espacial baseado em tecnologia opensource e internetq,,1919,LATTES
2523,"Enriquecimento Semântico, Análise e Mineração de Dados sobre Movimento com Ontologias e Dados Ligados",,1920,LATTES
2799,Deduplicação de Entidades em Larga Escala em Paralelo no Domínio de Saúde,,1921,LATTES
2797,Monitoramento e adaptação de transformações em dados científicos ao longo de execuções paralelas em ambientes de processamento de alto desempenho,,1922,LATTES
2637,Characterizing Conflicts Between Rule Application and Rule Evolution in Graph Transformation Systems,,1923,LATTES
1778,Information architecture for crop growth simulation model applications,,1924,LATTES
1106,Identifying users stereotypes for dynamic Web pages customization,,1925,LATTES
1299,DSS Experiences in South America,,1926,LATTES
1114,Desenvolvimento de Um Sistema Para Aquisição de Corrente Alternada Utilizando Uma Bobina de Rogowski,,1927,LATTES
623,XML e Banco de Dados: Análise de um SGBD XML Nativo,,1928,LATTES
617,ClockTool: Uma ferramenta web para a construção de bases de dados temporais,,1929,LATTES
731,Web Services para Divulgação de Dados Meteorológicos,,1930,LATTES
1468,A P2P Approach to Many Tasks Computing for Scientific Workflows,,1931,LATTES
1295,(Re)Visitando a História das Relações Públicas,,1932,LATTES
2856,Software Livre como Apoio à Tomada de Decisão no Ensino e Uso de Tecnologias: Estudo de Caso para as Escolas Públicas Municipais de Videira-SC,,1933,LATTES
3039,O ?estado da arte? da comunicação organizacional: aproximações preliminares.,,1934,LATTES
