id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
2038,2014,,,,,,,II Seminário de Formação Científica e Tecnológica,2
2039,2009,,,,,,,II Seminário sobre Grandes Desafios da Computação no Brasil,2
2040,2008,,,,,,,II Sessão de Pôsters do SBBD,2
2041,1997,,,,,,,II Simpósio de Ciência e Tecnologia - Resumos dos Trabalhos,2
2042,2015,,,,,,,"II Simpósio de Ensino, Extensão, Inovação, Pesquisa e Pós-Graduação e 21º Seminário de Iniciação Científica ? Integridade da produção e socialização conhecimento",2
2043,2003,,,,,,,II Simpósio de Informática da Região Centro do RS,2
2044,2016,,,,,,,"II Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação (WAlgProg/2016) - Congresso Brasileiro de Informática na Educação (CBIE 2016)",2
2045,2005,,,,,,,II Workshop Tidia FAPESP 2005,2
2046,2005,,,,,,,II Workshop Tidia FAPESP 2005,2
2047,2005,,,,,,,II Workshop Tidia FAPESP 2005,2
2048,2009,,,,,,,III e-Science workshop - XXIV SBBD &amp; XXIII SBES,2
2049,2008,,,,,,,III EBTS - Encontro Brasileiro de Teste de Software,2
2050,1995,,,,,,,III Encontro de Jovens Pesquisadores da universidade de caxias do Sul - Resumos dos trabalhos,2
2051,2005,,,,,,,III Encontro Nacional de Pesqisadores em Jornalismo,2
2052,2005,,,,,,,III Encontro Nacional de Pesquisadores em Jornalismo,2
2053,2007,,,,,,,III Escola Regional de Banco de Dados,2
2054,2007,,,,,,,III Escola Regional de Banco de Dados - ERBD 2007,2
2055,2017,,,,,,,III Mostra Pedagógica de Ciências in Revista Interdisciplinar de Ciência Aplicada,2
2056,2017,,,,,,,III Mostra Pedagógica de Ciências in Revista Interdisciplinar de Ciência Aplicada,2
2057,2011,,,,,,,"III Salão Internacional de Ensino, Pesquisa e Extensão",2
2058,2016,,,,,,,III Seminário Internacional de Comunicação Organizacional - III SICO,2
2059,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2060,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2061,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2062,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2063,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2064,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2065,2009,,,,,,,III Seminário Regional Sul de Resíduos Sólidos,2
2066,2009,,,,,,,III Sessão de Pôsteres do XXIV SBBD,2
2067,2009,,,,,,,III Sessão de Pôsteres do XXIV SBBD,2
2068,1999,,,,,,,III Simpósio de Ciência e Tecnologia e III Simpósio de Teoria e História da Ciência,2
2069,1999,,,,,,,III Simpósio de Ciência e Tecnologia e III Simpósio de Teoria e História da Ciência - Resumos dos Trabalhos,2
2070,2011,,,,,,,III Simpósio de Computação aplicada,2
2071,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Gestão Ambiental Urbana e Industrial,2
2072,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Gestão Ambiental Urbana Industrial,2
2073,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Livro de Resumos,2
2074,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Livro de Resumos,2
2075,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Livro de Resumos,2
2076,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental - Livro de Resumos,2
2077,2002,,,,,,,III Simpósio Internacional de Qualidade Ambiental- Livro de Resumos,2
2078,2006,,,,,,,III Workshop de Engenharia e Gestão do Conhecimento,2
2079,2004,,,,,,,III Workshop de Teses e Dissertações em Banco de Dados,2
2080,2004,,,,,,,III Workshop de Teses e Dissertações em Banco de Dados,2
2081,2006,,,,,,,III Workshop em Algoritmos e Aplicações de Mineração de Dados,2
2082,2020,,,,,,,"Impacto, Excelência e Produtividade das Ciências Agrárias no Brasil",3
2083,2020,,,,,,,"Impacto, excelência e produtividade das ciências agrárias no Brasil - 2",3
2084,2018,,,,,,,IMPLEMENTAÇÃO DE CONSULTAS PARA VISUALIZAÇÃO DE DADOS DE CRIAÇÃO ANIMAL JUNTO AO SISTEMA DE INFORMAÇÕES AMBIENTAIS,2
2085,2019,,,,,,,Implementação de Funcionalidade de Gráfico de Carta de Controle em um Sistema de Informação Ambiental,2
2086,2019,,,,,,,Implementação de gráfico boxplot sobre variáveis químicas de qualidade da água em um sistema de informação ambiental,2
2087,2010,,,,,,,Impression &amp; Pattern Evidence Symposium,2
2088,2017,,,,,,,Inclusão de Técnicas de Interpolação de Pontos em Algoritmos de Descoberta Online do Padrão Floco,2
2089,2012,,,,,,,Inclusão Digital como Ferramenta para Mudanças Sociais,2
2090,2012,,,,,,,Inclusão Digital em Comunidades Carentes de Rio Grande,2
2091,2019,,,,,,,Índice de Conformidade ao Enquadramento no Sistema de Informação Ambiental - SIA,2
2092,2016,,,,,,,INDUSCON 2016,2
2093,2018,,,,,,,INDUSCON 2018,2
2094,2011,,,,,,,InfoBrasil,2
