FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Educação Ambiental e Iniciação Científica no Ensino Fundamental,2017,Português,REVISTA ELETRÔNICA ENGENHARIA VIVA,SEM_DADOS,SEM_DADOS,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Environmental Strategy of Universities of Southern Brazil,2017,Português,WIT TRANSACTIONS ON ECOLOGY AND THE ENVIRONMENT (PRINT),SEM_DADOS,SEM_DADOS,"['Tonet, E. M. and', 'GIMENEZ, J. R. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.2166/wh.2017.144,Assessment of diversity of adenovirus DNA polimerase gene in recreational waters facilitated by ultracentrifugal concentration,2017,Português,JOURNAL OF WATER AND HEALTH,SEM_DADOS,SEM_DADOS,"['GIRARDI, VIVIANE and', 'DEMOLINER, MERIANE and', 'RIGOTTO, CAROLINE and', 'Schneider, Vania Elisabete and', 'PAESI, SUELEN and', 'SPILKI, FERNANDO ROSADO and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Uso e cobertura do solo nos arredores das Unidades de Conservação Ambiental no Município de Cambará,2017,Português,REVISTA BRASILEIRA DE ECOTURISMO,SEM_DADOS,SEM_DADOS,"['SANTOS, G. M. and', 'CEMIN, G. and', 'MAGRIN, T. B. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v3iss3p127a,Brincando de Geneticista: Descobrindo o DNA e Desvendando o que Esta por trás do Cariótipo Humano,2015,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['POSTAY LOSQUIAVO, KAMILLE and', 'COULON GRISA, ANA MARIA and', 'Schneider, Vania Elisabete and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v6iss2p15,Monitoring of an urban water body under the influence of a wastewater treatment plant: assessment of environmental impacts,2018,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E. and', 'MARQUES, R. V. and', 'SANTOS, M. B. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v6iss3p7,Biological assessment and metals concentration in blue shark (Prionace glauca) caught in the southeast-south coast of Brazil,2018,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['VIGNATTI, GABRIELA and', 'Schneider, Vania Elisabete and', 'POLETTO, Matheus and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.18226/23185279.v6iss2p21,Estimativas de recarga aquÃ­fera com uso de filtros digitais em sub-bacias hidrogrÃ¡ficas do Sistema AquÃ­fero Serra Geral no estado do Rio Grande do Sul,2018,Português,SCIENTIA CUM INDUSTRIA,SEM_DADOS,SEM_DADOS,"['BORTOLIN, TAISON ANDERSON and', 'ROEHE REGINATO, PEDRO ANTONIO and', 'PRESOTTO, MARCO ANTONIO and', 'Schneider, Vania Elisabete and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1016/j.scitotenv2018.09.177,Microbial risk assessment in recreational freshwaters from southern Brazil,2019,Português,SCIENCE OF THE TOTAL ENVIRONMENT,SEM_DADOS,SEM_DADOS,"['GIRARDI, V. and', 'PAESI, S. and', 'TARWATER, P. M. and', 'SPILKI, F. R. and', 'MENA, C. D. and', 'ALBINO, S. M. and', 'DEMOLINER, M. and', 'GULARTE, J. S. and', 'SOUZA, F. G. and', 'RIGOTTO, C. and', 'QUEVEDO, D. M. and', 'SCHNEIDER, V. E. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.5902/2179460x36937,Sistema web para estimativa de evapotranspiração potencial por diferentes métodos,2019,Português,CIÊNCIA E NATURA,SEM_DADOS,SEM_DADOS,"['BORTOLIN, TAISON ANDERSON and', 'SANTOS, LUCAS MORAES DOS and', 'Silva, Adriano Gomes da and', 'Schneider, Vania Elisabete and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,O GERENCIAMENTO DE RESÍDUOS DA CONSTRUÇÃO CIVIL ORIUNDOS DA ARQUITETURA DE INTERIORES NA ÓTICA DE ARQUITETOS E URBANISTAS DE UM MUNICÍPIO BRASILEIRO,2019,Português,REVISTA AIDIS DE INGENIERÍA Y CIENCIAS AMBIENTALES,SEM_DADOS,SEM_DADOS,"['RISSI, N. S. and', 'GIMENEZ, J. R. and', 'SCHNEIDER, V. E. and']"
