ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
3322255992735977,IEEE Transactions on Knowledge and Data Engineering (Print),2016,,,
3322255992735977,Revista Eletrônica Argentina-Brasil de Tecn. da Inform. e da Com. (REABTIC),2016,,,
3322255992735977,Instituto Federal Farroupilha,2017,2017,Professor substituto,
3322255992735977,Universidade Federal de Santa Maria,2018,,Professor Adjunto,
3322255992735977,INTELIGENCIA ARTIFICIAL,2018,,,
3322255992735977,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,2019,,,
3322255992735977,International Journal of Computers and Applications,2019,,,
3867942762661182,Universidade de Caxias do Sul,2001,2004,,
3867942762661182,Universidade de Caxias do Sul,1997,2001,Professor horista,
3867942762661182,Universidade Federal do Rio Grande do Sul,2004,2005,Colaborador Convidado,
3867942762661182,Universidade Federal do Rio Grande do Sul,1996,1998,aluno de doutorado,
3867942762661182,Universidade Federal do Rio Grande do Sul,1999,2003,aluno de doutorado,
3867942762661182,Universidade Federal do Rio Grande do Sul,2005,,Associado,
3867942762661182,Universidade Federal do Rio Grande do Sul,2017,,Chefe de Departamento,
3867942762661182,Universidade Federal do Rio Grande do Sul,2015,2016,Chefe de Departamento,
3867942762661182,Universidade Federal do Rio Grande do Sul,2011,2012,Vice Chefe de Departamento,
3867942762661182,Universidade Federal do Rio Grande do Sul,2013,2014,Vice Chefe de Departamento,
3867942762661182,Concept Assessoria e Desenvolvimento de Sistemas S C Ltda,1995,1996,Programador de Sistemas,
3867942762661182,REIC. Revista Eletrônica de Iniciação Científica,2006,,,
3867942762661182,Sociedade Brasileira de Computação - Porto Alegre,1996,,Sócio Efetivo,
3867942762661182,Sociedade Brasileira de Computação - Porto Alegre,2013,,Diretora Administrativa,
3867942762661182,Revista de Informática Teórica e Aplicada,2007,,,
3867942762661182,Information Systems,2008,2008,,
3867942762661182,Data &amp, Knowledge Engineering,2007,,
3867942762661182,REIC. Revista Eletrônica de Iniciação Científica,2004,,,
3867942762661182,Journal of the Brazilian Computer Society,2008,2008,,
3867942762661182,Universidade Federal de Minas Gerais,2009,2011,Pesquisador,
5020653372999435,Universidade Federal de Santa Catarina,2004,2004,Monitor,
5020653372999435,Universidade Federal de Santa Catarina,2005,2006,Bolsista de desenvolvimento,
5020653372999435,Módula Software Ltda.,2006,2007,Estagiário,
5020653372999435,Fundação do Ensino da Engenharia em Santa Catarina,2008,2008,Analista de Sitemas,
4767378073568656,Universidade Federal do Rio Grande do Sul,2003,2005,Pesquisador,
4767378073568656,Idea Tecnologia da Informação Ltda.,2004,2006,Desenvolvedor JAVA,
4767378073568656,Stefanini Soluções em tecnologia da Informação S/A.,2007,,Desenvolvedor JAVA Documentum,
3566418214259909,Universidade Estadual de Londrina,2014,2015,Inciação Científica,
8488632251760640,Fundação Hospitalar Santa Terezinha,2013,2015,Estagiário,
8488632251760640,Universidade Regional Integrada do Alto Uruguai e das Missões,2014,2014,Bolsista,
